business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.40180000000001, 'lng': -3.6988}, 'viewport': {'northeast': {'lat': 40.40309757989272, 'lng': -3.697365870107278}, 'southwest': {'lat': 40.40039792010727, 'lng': -3.700065529892722}}}",Restaurante Buen Gusto,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114068829713970845363"">Alvaro de la Cruz Jimenez</a>'], 'photo_reference': 'AcJnMuF57_RcrAb9Lv6WcBOBUs_zWyHHvEdhIfdJ-o0mJrvZszjvra-7nctnZyEn6MlAElTdzQmuTYo6IP7lrpaw0wJvTFSdwxM7Kl86lT9iNOJHgPy7CjO7QnRmiaYVICgVJXNFtQQfVqTKxZS2FDWyHfeiunH7LW3KBatKj-QIi_lcLZII', 'width': 4032}]",2.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",1959,restaurant
OPERATIONAL,"{'location': {'lat': 40.4498576, 'lng': -3.7029585}, 'viewport': {'northeast': {'lat': 40.45124057989273, 'lng': -3.701611870107279}, 'southwest': {'lat': 40.44854092010728, 'lng': -3.704311529892723}}}",Restaurante Chino Central,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110866173304688572540"">Maria Chamba</a>'], 'photo_reference': 'AcJnMuEb1AwzeJNYAbANmsJ56WNI3JwF4mhX4xAWfQeSuUyEip-jopwjGrvhVSyJZ6nzcvev3NXnCzZK-aBhghEnlfPog7bDspSIXKeC-TgoX1IS_6IHcC4rj5wmoBQraegX_23LJK3vFukbKU7JsGrdq43SsdNgRo19TA0Omq-6vHs8XNT2', 'width': 2048}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",657,restaurant
OPERATIONAL,"{'location': {'lat': 40.3516311, 'lng': -3.6868071}, 'viewport': {'northeast': {'lat': 40.35302737989272, 'lng': -3.685433970107278}, 'southwest': {'lat': 40.35032772010728, 'lng': -3.688133629892722}}}",Restaurante Chino Prosperidad II,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107622503861656807821"">Debora de lucas</a>'], 'photo_reference': 'AcJnMuG9l_bCyDp0Ni8oWeoUrum49SytK3lydnOkYCe0cWritLh23wU5KmmwUCMo05ajG6luL_Cy3tYessJy1WEG2-tRmMa0eWzgh1eNRrgshvQ0EWYJolAAyCFpBD2pskLM7sfHzbO1D1hdhwvB6VXiir3NqYPq6mmcBDKchuTW-8ii2BxT', 'width': 4000}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",785,restaurant
OPERATIONAL,"{'location': {'lat': 40.3850151, 'lng': -3.6474399}, 'viewport': {'northeast': {'lat': 40.38630002989272, 'lng': -3.645993070107278}, 'southwest': {'lat': 40.38360037010728, 'lng': -3.648692729892722}}}",Wang Sheng,"[{'height': 4144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109126426161358446007"">Jorge Sanchez Herrera</a>'], 'photo_reference': 'AcJnMuE5EBg-03anuUHMC_geakDnpSxZ9JkqpwnUGAJ8jQ3U2ncPb41gJVfGx9WJoLW2gy66fPgYwRHS1WtL2-3wt_rlz1mAmjmdsaW7gQKBHUA5mem2Q31on1Voqj9aDkCEe6GHrIAiF-8-TPrP06ElEtV_JalSOTVtvvbRYSHfSvsoX0_0', 'width': 5520}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",497,restaurant
OPERATIONAL,"{'location': {'lat': 40.4109643, 'lng': -3.657703399999999}, 'viewport': {'northeast': {'lat': 40.41238727989272, 'lng': -3.656612870107278}, 'southwest': {'lat': 40.40968762010728, 'lng': -3.659312529892722}}}",Restaurante Dong Cheng,"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114244171001755100266"">Raquel Rivera</a>'], 'photo_reference': 'AcJnMuFoXW4qXN5DyXQSWMEaVhzMym484uTpW0XBK07nMaZV9eh3WDRQCz4R97lqT7uZQXZXGqITNLvCj4rNiM7A-g47aZoOukAteP3wmoZxFAWK04vIVRC19O5F9xgpCz-C70u5qORlOStwr3bkJzlCihFmr7iXdi4IXoUO-J0r8P2EcTHZ', 'width': 3472}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",2814,restaurant
OPERATIONAL,"{'location': {'lat': 40.4314693, 'lng': -3.7158449}, 'viewport': {'northeast': {'lat': 40.43281492989272, 'lng': -3.714470470107278}, 'southwest': {'lat': 40.43011527010728, 'lng': -3.717170129892722}}}",Hong Kong City,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118403359083777838655"">Rosa De Jesus Dorado Muñoz</a>'], 'photo_reference': 'AcJnMuGlaClEi9lf8udNoeW770PHSvUcz7ZFHmQXnKtrZrqRL8xKb4PcxxKxDAKF15sSn5iGYGA3zzn8mjrzfpAgZv0CPJBSRc8dJ5y8b-M13QwGP8W90V2MBzMy22lbkS5ZVQBi_YyDfGHhFlG_GT1jDZPDb3xW11Gw9hVwr7WHgrsoZ_P4', 'width': 4128}]",1.0,4.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",312,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.414331, 'lng': -3.670196999999999}, 'viewport': {'northeast': {'lat': 40.41571437989273, 'lng': -3.668668870107278}, 'southwest': {'lat': 40.41301472010728, 'lng': -3.671368529892722}}}",China City,"[{'height': 5472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110447645718629836345"">do carmo</a>'], 'photo_reference': 'AcJnMuH9I7MA8s5cG10d_dlfD_oRDNUZ9BQOF5jbIqP-IzSH5KJQFtlq_mVfbsHmJx5lqQcHI9boGQL3JWldyU9hQCBpM8njJym4wYFADdS8ArFuxHbZVdqeA4MBDY_o3uFEZBp4J3Sgggb5YCbX_CT13o1ij-gLr1mH-BBv2NB58EUCZT6W', 'width': 7296}]",1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",558,restaurant
OPERATIONAL,"{'location': {'lat': 40.3708461, 'lng': -3.6132272}, 'viewport': {'northeast': {'lat': 40.37213087989272, 'lng': -3.611829570107278}, 'southwest': {'lat': 40.36943122010728, 'lng': -3.614529229892722}}}",Restaurante Asiático Xing,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117533291905297580420"">ideaweb Madrid Diseño web y gráfico</a>'], 'photo_reference': 'AcJnMuF4V2oYZjuw8wqyWeoXtIasZVTM7E0Hjk5sgoM_pkNolhvjrESpFS2SWJaxTbF_8Nfd7nWdD64MJ5C5x04ovCe5zoAhNFc5DERkQEXPUWXpjQBxaLmoRb1rMoi1ZUlwPyojXTKRT6B0sQ4FKDSCk9BSv4wqA6bZJNk2dEmGiPrkUtS2', 'width': 1920}]",1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",954,restaurant
OPERATIONAL,"{'location': {'lat': 40.3784309, 'lng': -3.7692262}, 'viewport': {'northeast': {'lat': 40.37984212989272, 'lng': -3.767780020107278}, 'southwest': {'lat': 40.37714247010727, 'lng': -3.770479679892722}}}",Restaurante Guang Zhou— Zhou Hong,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104321835769016797192"">A Google User</a>'], 'photo_reference': 'AcJnMuHKvtpqsSJQvYMWqLf2e1_yX6kMi4t9smLgqyqmiyd7cmhQBlJvOmG2wRdgfeTP_ZOjz2UeQ2If4k4Hg8snGA2ZLATo7Wd89Kw6lPeq54HGYhyRreHgzwIXmwwqo5UFkqI_8B_tbg8BwigfsY86aBo2yWVJXztPptMix2Yb71k2aX9Z', 'width': 1600}]",1.0,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",408,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.4304676, 'lng': -3.6449217}, 'viewport': {'northeast': {'lat': 40.43183722989271, 'lng': -3.643527070107278}, 'southwest': {'lat': 40.42913757010727, 'lng': -3.646226729892722}}}",Restaurante Chino Da Yuan,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103405055528076037925"">A Google User</a>'], 'photo_reference': 'AcJnMuEl8QfRmauO5OvXqH_s3dDGMiKMwD5ROLnasQ5Pq3Aix5WKU_SclLrKruQb9LS4DzaNXfQGn08jjm75ln2Pj3D1_pv310ptT31nqPawvIfDZJAVFag3SW035BT1SdAJEaVHyJ_5bxhbZGMRYX8P4jkftxBwlm1gv1hcNHekirbaM5Xo', 'width': 4032}]",1.0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",310,restaurant
