id_local,coordenada_x_local,coordenada_y_local
398,439727,4473421
399,441091,4473515
400,440866,4474618
401,439948,4473784
402,440848,4474746
403,440827,4474739
404,439965,4473873
405,439733,4474367
406,440222,4475482
407,440341,4473702
408,440126,4474095
409,440372,4474328
410,442456,4472779
411,442513,4473174
412,442594,4472992
413,443199,4472443
414,442599,4474628
415,442374,4472912
416,442898,4473062
417,442285,4472940
418,442842,4474370
419,442710,4474619
420,442670,4474140
421,440114,4474297
422,440306,4475074
423,440708,4474985
424,440502,4473346
425,440726,4474210
426,439700,4474377
427,440474,4475401
428,440552,4475091
429,440540,4474883
430,439976,4473994
431,440786,4473564
432,439895,4474065
433,440641,4475535
434,440387,4474149
437,440560,4473830
438,439473,4475753
440,440382,4474034
441,439755,4473719
442,440713,4474881
443,440754,4474852
444,439767,4475265
445,439966,4474941
446,439778,4474862
448,440462,4472995
449,440867,4474927
450,440983,4473917
451,440713,4473600
452,439588,4473929
453,439694,4474508
454,441052,4475182
455,441128,4473776
456,439453,4473825
457,440544,4474839
458,440450,4474237
459,439850,4473562
461,440605,4474802
462,440496,4475124
463,440284,4474906
464,440875,4475275
465,440521,4474596
466,440718,4473960
467,439344,4473422
468,439955,4473744
469,440758,4474648
470,439957,4475242
471,440718,4474737
472,440297,4473406
473,440166,4475404
474,439891,4473870
475,443102,4472977
476,442580,4474526
478,443778,4474177
479,441887,4474240
480,442755,4473886
481,442871,4474250
482,442418,4473279
483,443059,4474233
484,442774,4472502
485,442711,4474263
486,440144,4474230
487,439720,4474319
488,440369,4474668
489,440389,4474055
490,439888,4474348
491,440940,4473161
492,440414,4475167
493,439814,4475139
494,440340,4474392
495,440533,4474550
496,440569,4473385
497,442439,4473146
498,442887,4472428
499,442599,4474524
500,442533,4474651
501,442512,4474505
502,442703,4474536
503,442521,4474070
504,443000,4474359
505,442480,4473121
506,442750,4474283
507,442036,4473068
508,439697,4474968
509,439935,4474652
510,439966,4474376
511,439968,4475353
512,439712,4474907
514,440569,4474057
515,439962,4473839
516,440285,4474392
517,441248,4474871
518,440993,4473537
519,440173,4474281
520,440281,4474681
521,440703,4474092
522,440711,4473971
523,439776,4474550
524,440486,4473003
525,440559,4473232
526,440586,4474211
527,440524,4474553
528,440214,4474792
529,439757,4473444
531,439690,4473339
532,439830,4474774
533,440022,4474573
534,439826,4474794
535,439702,4474929
536,439854,4474835
537,440453,4472991
538,440673,4474897
539,440647,4473085
540,442206,4472980
541,442368,4472864
542,443041,4472276
543,441834,4474391
544,442988,4474206
545,442751,4474634
546,443121,4473604
547,442717,4474410
549,442977,4473367
550,442608,4473048
551,440472,4475471
554,440148,4474271
555,440532,4473950
557,439820,4474142
558,440491,4475407
559,440258,4474331
560,440290,4475420
561,443654,4474396
562,442459,4472614
563,442392,4474559
564,443112,4473165
565,442188,4472950
566,441479,4474298
567,442086,4473159
568,442590,4472985
571,440420,4474139
572,440044,4475081
574,440495,4473399
575,440617,4473320
576,440914,4474426
577,440692,4473766
578,441098,4475358
579,440109,4474781
581,441056,4475187
582,440339,4474644
583,441217,4473400
584,440650,4474488
585,440090,4474522
586,440844,4473234
587,440672,4473680
589,440368,4473947
590,439742,4474275
592,442694,4474412
593,442349,4472830
594,442629,4473203
595,443578,4473482
596,441536,4474344
597,442821,4473935
598,443611,4474330
599,442450,4474338
600,442240,4472925
601,442520,4474624
602,442027,4473106
603,439906,4474715
604,439776,4474901
605,441025,4474894
606,440727,4474782
607,439942,4474822
608,440131,4474820
609,440713,4473632
610,440309,4475425
611,439867,4474634
612,440005,4474467
613,440184,4475002
614,442347,4473051
615,443137,4472247
616,442692,4474519
617,442522,4474632
618,442542,4472698
619,442803,4474222
620,442727,4472539
622,443291,4473482
623,442974,4472361
624,442191,4472885
625,439972,4474868
626,440158,4475039
627,440435,4475528
628,439819,4475116
629,440202,4474799
630,440866,4474827
631,440776,4474757
632,440583,4474888
633,440697,4474781
634,440181,4474448
635,440344,4474144
636,442963,4472368
637,442078,4473075
639,442422,4473010
640,442548,4472709
641,443110,4474229
642,442529,4474245
643,442775,4473186
644,442522,4472702
645,442520,4474617
646,442669,4473581
647,440344,4474164
648,440440,4475134
649,440329,4475561
650,440115,4474964
651,439822,4474713
652,439675,4474873
653,441004,4475127
654,440859,4474850
655,440958,4475178
656,441050,4474878
658,442186,4473007
659,442474,4473081
660,442582,4474241
661,443828,4474373
662,442625,4474593
663,442079,4472962
664,443212,4473138
665,442672,4473676
666,442858,4474369
667,442497,4474330
668,443020,4472296
669,439718,4475389
671,439929,4475591
672,439802,4473522
674,439943,4474177
675,439995,4474457
676,440841,4474681
679,440438,4474748
680,440379,4474640
682,439839,4474797
683,439929,4474574
684,439421,4473463
685,439521,4473878
686,440836,4474334
687,440128,4475040
688,440189,4474468
689,440186,4474659
690,440315,4474043
691,439784,4474146
692,440050,4475375
693,439657,4475310
694,440199,4475595
695,439973,4474233
696,440309,4475254
697,439965,4474244
698,440013,4474796
699,440203,4473133
700,441138,4475328
701,441708,4473120
702,441728,4473114
703,442540,4472794
704,442252,4472948
705,442992,4472349
706,442770,4474338
707,442914,4474212
708,442994,4473156
709,442500,4472820
710,443199,4472499
711,443052,4474201
712,440639,4474383
713,440371,4474325
714,440540,4473398
715,440261,4474536
716,440784,4475143
717,440770,4474439
718,440777,4474441
719,440286,4473640
720,440345,4473937
721,439870,4474363
722,441032,4475090
723,442627,4474644
724,442559,4473211
725,443119,4472226
726,443016,4472836
727,442388,4473028
728,442901,4474214
729,443087,4473058
730,442419,4474537
731,442518,4474247
732,442753,4472802
733,442970,4474208
734,439641,4473828
735,440600,4473998
736,440455,4473418
737,440422,4474193
738,440009,4473144
739,440366,4474353
740,440448,4473425
741,440587,4474704
742,440791,4474862
743,440654,4474390
744,440351,4474317
745,440000,4475082
746,440295,4475451
748,439933,4473947
749,440280,4474368
750,440630,4474821
752,440530,4474230
753,440245,4474419
754,440181,4475586
755,440304,4475539
756,440452,4474065
757,440805,4474909
758,440699,4474614
759,441219,4473355
760,440647,4473617
761,441020,4474944
762,439623,4474353
763,440829,4474624
764,439857,4475253
766,440050,4474068
767,442794,4472559
768,442190,4473187
769,443035,4474237
770,442660,4474623
771,443080,4472401
772,442794,4472904
773,442927,4472394
774,442922,4472215
775,443146,4474226
776,443067,4474354
777,443165,4473879
779,440621,4474704
780,440387,4474102
