business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4205924, 'lng': -3.7094255}, 'viewport': {'northeast': {'lat': 40.42195887989272, 'lng': -3.708053120107278}, 'southwest': {'lat': 40.41925922010728, 'lng': -3.710752779892722}}}",A Ri Rang,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109885865655218155231"">sandra ff</a>'], 'photo_reference': 'AcJnMuEn8_Bcb5GWu4DlCwvXRx-S5Yj2vMBubfeR6Z2gPCpG-9OXWjH-aTYntz4148PdK8ETxe4Nu2-mIKO3WRFPK2lnvFDhBpveTiWWsn0TTYOB-wsX1QNjHCDOq0tTUFUuzLLnrWmCG4Sc3AQmYRnmRxj6EJH0BoZqhVmi2J1fuOUZBcq5', 'width': 4640}]",2.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1089,restaurant
OPERATIONAL,"{'location': {'lat': 40.4327164, 'lng': -3.7025149}, 'viewport': {'northeast': {'lat': 40.43406357989272, 'lng': -3.701092970107278}, 'southwest': {'lat': 40.43136392010727, 'lng': -3.703792629892722}}}",Restaurante Coreano Casa Bulgogi,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100781792063270212320"">esther garcia cantador</a>'], 'photo_reference': 'AcJnMuEXZrZP8yqjFaxdnQIvKbTJS56v1siR79ayrmNdHzqmlzOo9bxeOhTVeoLD4ju3n_MCgdvDVXZBH39Dh9aGlYf87EknicRGDSzuzaUtzIGXBA9kcgXz4UsDLdJTwqY06SNsJekuEM0X4PYH9oiW9oYLkI4joYMRuWrPxJWnDxYukJf8', 'width': 4032}]",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",469,restaurant
OPERATIONAL,"{'location': {'lat': 40.4332819, 'lng': -3.7163436}, 'viewport': {'northeast': {'lat': 40.43454277989272, 'lng': -3.715013270107278}, 'southwest': {'lat': 40.43184312010728, 'lng': -3.717712929892722}}}","Restaurante Mindelle(Coreana,China)","[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102148251885452110369"">Agata Bajerska</a>'], 'photo_reference': 'AcJnMuEOlizellO4hdWFmQ47cBSxIwdVx3NULkPwHjHMm9VsMm_2XRBhnZUiHdM1VXDzkDcINWzLYCTEl6RFebDSKjL7YMzi3g6njQ_rBq_oNj4GJHUtwdCFdn95nD29ngr7NTRZDXN7uLhp67lbUwQl1M6Du0Q2meQy8i_p_rhmtwt75eyg', 'width': 4032}]",,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",208,restaurant
OPERATIONAL,"{'location': {'lat': 40.4241017, 'lng': -3.7091682}, 'viewport': {'northeast': {'lat': 40.42548747989272, 'lng': -3.707749870107278}, 'southwest': {'lat': 40.42278782010727, 'lng': -3.710449529892722}}}",Restaurante Gangnam,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106984743927008333725"">Fernando Garcia Domingo</a>'], 'photo_reference': 'AcJnMuFuMCADOZH_bB9zUlOAob1L3pF6McATKDhE9EOaVSyzRJfnrMGkw0zoO5g945seKLCVNaV7YrJRV1nvEIJGWozSOUImLWqtDNVReFpJ_y_CR82tEX1lHWSAqj7PL_OxVEW5VGfID3jbHgeeyBc1CyM-3vyEyNVkhiFOO5lKPNVPDbN-', 'width': 3968}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",692,restaurant
OPERATIONAL,"{'location': {'lat': 40.42264979999999, 'lng': -3.7110779}, 'viewport': {'northeast': {'lat': 40.42397812989271, 'lng': -3.709709720107278}, 'southwest': {'lat': 40.42127847010727, 'lng': -3.712409379892722}}}",Restaurante Coreano GaRam 가람 한식당,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102885740601817405432"">A Google User</a>'], 'photo_reference': 'AcJnMuFzm5FmWzP0pbZUfTwuGm4-6KKKVe6bQF4oac04Umi-UP2aANzArPBs_ehxlLDJhkNpvukHVsYzC15gI-dduzVT3w5ivXmZVIj4S2BFn-jj0eh6aq6jaCCurFMLBcZatMGHc5DrwmfMnqMMkKgz0CoMRVJjJygXr9FKB2YV_c8IX4oE', 'width': 4000}]",2.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",591,restaurant
OPERATIONAL,"{'location': {'lat': 40.4157447, 'lng': -3.7124716}, 'viewport': {'northeast': {'lat': 40.41709202989271, 'lng': -3.711119020107278}, 'southwest': {'lat': 40.41439237010727, 'lng': -3.713818679892722}}}",Restaurante Dadam,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118051449311514225881"">Alejandra Calzon</a>'], 'photo_reference': 'AcJnMuE1asT-AtevqmRBkzG8_OC8eHtgznsxl-xfEugy1x7boWuaeD6t9qFC6pro5yllUCqaxLEx3wFnl2pUmCuJaMU9B_JyBaIrQySF_zIL2OIOTKtQstbjGfVeN7DC00pc6RL0y97fIPd871OpSZSW-xGZLW3WwiFGZ0fv5QaHaabJ_sKn', 'width': 4000}]",1.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",667,restaurant
OPERATIONAL,"{'location': {'lat': 40.4171589, 'lng': -3.7105331}, 'viewport': {'northeast': {'lat': 40.41852892989272, 'lng': -3.709190020107278}, 'southwest': {'lat': 40.41582927010728, 'lng': -3.711889679892722}}}",Sarangbang,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102588086095035760499"">SoDamnP</a>'], 'photo_reference': 'AcJnMuHAUck5AHGTe1cMBMg4FG-rBGG8NcQpwCW1aual1by4d2ja6PngnqZCmIFru1YgAF1_lOG9qzgfXLfWxoNu4wi9OlXPqRFXvHK2oiBGpFVN_aRKjuTVT3lMtE1VQrt2hlgV8RhErtPC7b_G3WdRim46kLVPiDPBJUm5IZ2f5PWpymgP', 'width': 4032}]",,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",543,restaurant
OPERATIONAL,"{'location': {'lat': 40.4241907, 'lng': -3.7009351}, 'viewport': {'northeast': {'lat': 40.42558447989273, 'lng': -3.699558920107278}, 'southwest': {'lat': 40.42288482010728, 'lng': -3.702258579892722}}}",Akma B o B,"[{'height': 801, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105820504899460166288"">A Google User</a>'], 'photo_reference': 'AcJnMuG55cAB5Ff_zPcjbL_d7lo2rx_Y6CIDQCjzaDOa2VFArsfN7fbOpTX-zIPQ4YXOqVHO-0LH8P5S1BU3AA52WXtll9bgRaoJP3uit9jciKIQbPKqgYUY7nEh6kVjEQiIfUkz2XVCryFOJcFTHHWIyp8h90imGBO55ZA_IL29lDfknG9P', 'width': 1126}]",,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",101,restaurant
OPERATIONAL,"{'location': {'lat': 40.3348186, 'lng': -3.860650299999999}, 'viewport': {'northeast': {'lat': 40.33628547989272, 'lng': -3.859481920107277}, 'southwest': {'lat': 40.33358582010727, 'lng': -3.862181579892721}}}","Bibigo, cocina coreana","[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117226143172199754454"">MARIA DOLORES MARTÍN DÍAZ</a>'], 'photo_reference': 'AcJnMuFbbRxnGm1S6TbLqRyopNLkpo1P95Y_jodwNBWWbe60t7WSfCCURi07VN9h4J46FdEtEcE0cFM3mttp2Mil1vZ0Ug30pZN73LenI80YREwDTE8ybG1NxLbY7aVCEde3wHfI45wb1hibErUP0zfDySys_1dwDFbCWAdPTy1P01j13T1_', 'width': 3968}]",,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",210,restaurant
OPERATIONAL,"{'location': {'lat': 40.4240153, 'lng': -3.700775}, 'viewport': {'northeast': {'lat': 40.42540092989272, 'lng': -3.699366770107278}, 'southwest': {'lat': 40.42270127010728, 'lng': -3.702066429892722}}}",Akma Mix,"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117496597430016443683"">Miguel Angel Albujer Lax</a>'], 'photo_reference': 'AcJnMuEdDgfdOp_Nm7Af1A3eWm6lnTmznqtkorU-CS5jr3519xfKqvVDTdnPi-ojnsW8Bhl7iDTV-iIfE_R8AkX54s5P6zQmXP6zVuI3rLHWwP2vFVtlQiOq9MPwMxdmQPvmLsAcvzsCd0jVmKmL2Ke_CSCkL6bkbfUxI-bXINr-sIQMAG6m', 'width': 3968}]",,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",77,restaurant
