business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4221669, 'lng': -3.6984258}, 'viewport': {'northeast': {'lat': 40.42350732989272, 'lng': -3.697040120107279}, 'southwest': {'lat': 40.42080767010728, 'lng': -3.699739779892723}}}",GIOIA,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104760887883760458276"">Ignacio Aguirre</a>'], 'photo_reference': 'AcJnMuH75PRX3z4za18pop3TLSS-TMlWwY71xFVv6eKgfu6j26SrZjh-tL5-9hJ9344_ZOvl4CMIGKF37qY2ibgRlrMBe17e-tR1UoLg54n13zTeBVUaioaBPAxRxM58OmHAzldJjOI9WpRq7GXZOT3nikZ4tE0jHZU3t2GTBa24a4id-iFk', 'width': 1599}]",2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",890,restaurant
OPERATIONAL,"{'location': {'lat': 40.4113863, 'lng': -3.6955688}, 'viewport': {'northeast': {'lat': 40.41278137989272, 'lng': -3.694231520107278}, 'southwest': {'lat': 40.41008172010727, 'lng': -3.696931179892722}}}",Pizzeria Ristorante Piccolo Diavolo,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117695111227390513505"">Pablo Silva</a>'], 'photo_reference': 'AcJnMuHxsfjxfKHMI-KNxKlaqO1yLgaGFgzGQ78lYCgzo3VjyusksYM7oQ2cWFME6i1n-l__-vm4KOAGeaa1nh1W3P6DMI_aSgRVNcQCJpOFe2DOGRsZ_jF3e1uyAHcdJsoAhIYEDyTwTnkjtaQYS0dY1tXMsz1ZEMRFeAuKSnNt6VW2yowS', 'width': 3472}]",1,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1765,restaurant
OPERATIONAL,"{'location': {'lat': 40.4316411, 'lng': -3.7156209}, 'viewport': {'northeast': {'lat': 40.43293337989272, 'lng': -3.714240720107278}, 'southwest': {'lat': 40.43023372010727, 'lng': -3.716940379892721}}}",Ristorante Casa Marco,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117177114926436218912"">A Google User</a>'], 'photo_reference': 'AcJnMuHVZYZjsxPGL_fIazdl1UX13bA_m-WrSWcrsyMTv_wqmOdGRyp2sZ11nong7Dz-nvhGNFPkscsvucGI40vGRqbnfw5H8_WxBb4u8xOiOFjYfdrPpSaykJUHQk-DLR6VpIwOn3FpDvoXVhH_puEBULyiwsiuRaaCdSz59yWznIscgVPL', 'width': 1440}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",469,restaurant
OPERATIONAL,"{'location': {'lat': 40.41659689999999, 'lng': -3.7070241}, 'viewport': {'northeast': {'lat': 40.41803812989272, 'lng': -3.705654620107278}, 'southwest': {'lat': 40.41533847010728, 'lng': -3.708354279892722}}}",Trattoria Malatesta,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112643001522653389526"">Abi Angeles</a>'], 'photo_reference': 'AcJnMuHEHu_zuTS8hsHl1vPd_xTvRIhTvUlMvqMgyQtWrYkvEyeOJbFjd3LHocySPiIEJlaTRR8NS_jwRk2vmV4Wgb-xXr3ASBcb9aXhOJASQuCxiYAMmBMWkR5cx0hOKKvvutNJS8lwuRVrQ6riwfAWx4vcw9YnsYJzAnUNlR86GFzSsvMN', 'width': 4032}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",2260,restaurant
OPERATIONAL,"{'location': {'lat': 40.4359624, 'lng': -3.6807211}, 'viewport': {'northeast': {'lat': 40.43735412989273, 'lng': -3.679408520107278}, 'southwest': {'lat': 40.43465447010728, 'lng': -3.682108179892722}}}",Just Italia Barrio Salamanca Madrid,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114942034285862750224"">Juan Camilo Gamboa</a>'], 'photo_reference': 'AcJnMuFzDkY0J5GDlxjQM180S29XCVA7SYJdYQE3Hj9gkPTOLI3mYXq_twQ7KJEt_KA3GuG8ZwUsS9UPLvvBJehk3SxD_b5sH2YVnRGdDt-ONMhc2y5kAoi7wox2Vas3A-peUT6HJVb55sXGaC5eFJq6DrqKhYloAGgJTjVxdAsBbAQ6LMqB', 'width': 2448}]",2,4.2,"['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",842,grocery_or_supermarket
OPERATIONAL,"{'location': {'lat': 40.4246439, 'lng': -3.6965504}, 'viewport': {'northeast': {'lat': 40.42597282989273, 'lng': -3.695184070107277}, 'southwest': {'lat': 40.42327317010729, 'lng': -3.697883729892721}}}",Trattoria Pulcinella,"[{'height': 6094, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102830828844632586557"">A Google User</a>'], 'photo_reference': 'AcJnMuF8UdY-JGd6P-QRvBSYKaZIMRHu1hYlnM8rxSmHQ3Bs4694UzMzRjYQSNNEYyMwu2VzVk1GCETpOSpT-uOIxIowvxD9CAampanizW9CbD6SfsToTJ_TAnrCgtXPuDLpZr4yY4GwgQPprC4a1cLn4nAp7pOOVkraggchYuVABBFMFLUj', 'width': 8131}]",2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",4101,restaurant
OPERATIONAL,"{'location': {'lat': 40.4197598, 'lng': -3.706800399999999}, 'viewport': {'northeast': {'lat': 40.42113557989272, 'lng': -3.705929020107278}, 'southwest': {'lat': 40.41843592010728, 'lng': -3.708628679892722}}}","Restaurante La Tagliatella | C/ Preciados, Madrid","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107620132241911727375"">Filippo Pancali</a>'], 'photo_reference': 'AcJnMuH3TXECGnH5jRgQgFJ85NTY2o1ye12XKKBm5CeTftC7_YxQkWmNK13B_FpLM9BoPv4lGGk3ZCzFi5syIUMpR0MMN4my9aHQESVayYEqg7jL9L_QV4vdc9cVMmTxeP1fr9PrszyuWvvlkwfoTnNhlWp20NCLx_B0Qn3GicyytsAmOhwx', 'width': 4032}]",2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",4019,restaurant
OPERATIONAL,"{'location': {'lat': 40.3884173, 'lng': -3.6910954}, 'viewport': {'northeast': {'lat': 40.38988812989273, 'lng': -3.689837470107277}, 'southwest': {'lat': 40.38718847010728, 'lng': -3.692537129892721}}}",Gustazio Gastrobar (Pinsa Romana & gastronomía italiana),"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116056008464807918785"">Javier DE LA FUENTE JIMENEZ</a>'], 'photo_reference': 'AcJnMuF0xySiCfQuZD5ktK2HI-HByQIjnrK0v_VDD3xb2-Vf5tf8XEBj0ITXPKRDZFLyIlhAr7lNzZyKaoI3HRT6PRPxgPfWYF5YFHzY1esbzhB4-hpBoa7NKEAUodsuXgOsoo1HMiY-bvBIf-AKsFsCrdCETJCXb48k3nWrjCsum7aTXrcb', 'width': 4608}]",2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1160,restaurant
OPERATIONAL,"{'location': {'lat': 40.4186623, 'lng': -3.7088172}, 'viewport': {'northeast': {'lat': 40.42004937989272, 'lng': -3.707435120107278}, 'southwest': {'lat': 40.41734972010727, 'lng': -3.710134779892722}}}",Ouh...Babbo!,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118155951547360644484"">Jacobo Saro</a>'], 'photo_reference': 'AcJnMuGAjDa76X6Rmda38XIktIlE3GG507nGbBFCcqwKUegNozc7UOfYfwBbPFHVUBOZPi2j373v6AyJ9MBUx0BiY4h_rG9XasCkLt-Bgr-QggQ1KNkfYyOVT5bVEFpslC1k26Jzl06pe4wER_pSMJ9oZo2YPes3nMPiS6wjfl4KRvzYtm9X', 'width': 4032}]",2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1737,restaurant
OPERATIONAL,"{'location': {'lat': 40.4226209, 'lng': -3.6021952}, 'viewport': {'northeast': {'lat': 40.42404282989273, 'lng': -3.600796520107278}, 'southwest': {'lat': 40.42134317010728, 'lng': -3.603496179892722}}}",Il Quattro - Restaurante italiano,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107462835105292703691"">May Por To</a>'], 'photo_reference': 'AcJnMuH_KpewbYo9yKPTwWTGQ6uS8sDqAujMRo2xVWaDBAMC09w2LbPsNymWyWSf9f3mkjtw-PfE_RHcCwxfQ4ksDw493sQUDF0MwCxSLYUc4ayo63EMJ71GkXm3c-4F7UgJki3FvFgCpWZKqhkaFakB6Tj0Bks8KiDKVR_Dm5Qmnlfz0xYd', 'width': 4032}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1192,restaurant
